rowid,prof7_id,sand,clay,silt,DEPTH,x,y,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
47,147,5,38,57,10,630000,363000,4.368492489,1.225940367,-0.806213919,-2.484986158,1.783047716,1.68297034,-2.104449112,-0.44020314,-0.176870448,0.814822069,-0.571551486,0.002065709,-0.039241707,-0.008413335,1.6731126,-0.837598724,-0.042001353,0.776943112,0.877270031,-0.145904544,-0.118344166,-0.229715406,0.225102564,-0.173797002,0.170596579,-0.021409419,-0.045333366,-0.064872638,-0.012370856,-0.171341753,0.004795679,-0.591867548
48,148,22,44,34,10,629000,379000,4.49584188,0.373918565,-0.667579962,-2.250205404,1.882163444,1.366432265,-2.641611079,-0.761711577,0.877526607,0.006507397,-0.25058262,-0.109928405,-0.097957577,1.982240539,0.762952717,-1.255767532,-0.285532326,-0.192972428,1.04698805,-0.159717875,-0.17032748,-0.259377599,0.196330688,-0.156068854,0.038667694,0.028796463,-0.054947989,-0.030983478,-0.002549433,-0.491324396,-0.290402606,-0.435006451
49,149,39,14,47,10,629000,390000,2.298096239,2.516923048,-0.112578184,-2.568535648,2.31414975,1.495344129,-1.492113875,0.258029167,-0.016763219,0.329398106,0.068405034,0.074595181,-0.077787512,0.2375524,-1.265338581,-0.942894016,-1.194064132,1.64009408,-0.093802238,-0.089540841,0.012520195,0.005675292,0.008900109,-0.128451795,0.155024587,-0.07096803,-0.014425126,0.003761746,-0.009581986,0.468677654,0.522601343,-0.425406029
50,150,26,9,65,10,629000,396000,4.056664976,1.463119369,-0.653179354,-2.617146144,1.601142911,1.972937929,-2.130411025,-0.529102603,-0.182779615,0.774186725,-0.438446852,-0.110838352,-0.034774857,0.051854976,1.980076126,-0.944820998,1.076627317,-0.310790566,1.166474131,-0.290831887,-0.051617316,-0.248540772,0.413576156,-0.117375513,0.013738518,-0.002277699,-0.061918585,-0.043714482,-0.008942155,-0.400023362,-0.996290402,-0.450104632
51,151,68,8,24,10,629000,407000,5.514318571,-3.104359608,-0.893338546,2.092631222,1.12633472,-0.970366279,-1.646355296,0.429331092,0.803328848,-0.249687769,0.096622904,-0.263472516,0.124406074,0.980163906,-0.146844135,1.241759406,-1.776952009,0.301912344,-0.355034104,0.970120136,1.251326726,-3.84943167,-2.412515267,3.267992505,-1.43763505,-1.225518831,0.147626653,-0.052479846,-0.004584599,-0.993499158,-1.08888017,1.024749243
52,152,42,26,32,10,629000,418000,4.301725622,-1.587936541,-0.856625513,1.84690269,1.037750585,-0.203728713,-1.315289938,0.604333808,-0.386008426,0.598892625,-0.211922571,-0.26026937,0.198583978,-1.249257574,1.59193684,2.059534399,-0.12939569,0.628000898,-0.662970063,0.630963033,1.610937229,-3.76110232,-2.149071707,3.317940648,-1.589620346,-1.223407223,0.12271864,-0.04294178,-0.017667299,-0.399775654,-2.056187371,1.253885766
53,153,33,22,45,10,629000,429000,5.273371848,-2.064675407,-0.215290653,1.569871095,1.433141703,-0.491042453,-0.572162433,0.925954327,0.261833682,-0.169138401,0.592818363,-0.285786079,0.124540379,-0.057773953,-1.445729936,1.308135416,-0.462815715,0.598905362,-0.618567473,0.664896521,1.449101712,-3.748600689,-2.230397136,3.320011107,-1.59753733,-1.26329942,0.14999363,-0.026579673,-0.006604338,-0.66726323,-1.964281137,1.436185483
54,154,52,11,37,10,629000,434000,6.289735471,-2.627130391,-0.143591712,1.44001182,1.209744875,-0.5552846,-0.139554557,0.999941485,-0.027211966,0.02702721,0.604858026,-0.254028457,0.067991176,-0.557833205,-1.535430584,0.818115784,-0.283779688,-0.314205138,-0.234857303,-3.371866837,-1.323622522,0.713632639,-0.159327633,0.094516304,0.267633857,-0.302897768,0.034791734,-0.115927202,-0.020194252,0.095707654,-0.173228196,0.468485996
55,155,15,50,35,10,630000,440000,5.531953032,-1.234927052,-0.44549876,-1.918661474,0.653166459,1.335639579,2.959262461,-0.383357413,-2.012975439,-3.739005897,6.879294936,11.61169654,1.681927847,3.547988055,2.312564377,0.582377755,-1.15224288,2.418220019,0.04666754,-0.204567769,0.014379321,-0.109593016,0.229777458,-0.284290692,0.239466231,0.073419105,-0.028075104,0.138318138,0.010569945,0.390832212,0.086140396,-1.195727671
56,156,28,31,41,10,630000,445000,6.728192375,-3.579278969,-0.791614806,1.346306802,1.065156057,-0.536898149,-0.094098245,0.970570048,-0.381666624,0.473095807,0.191362546,-0.136136793,0.153172378,-1.145851921,-0.760005901,0.630164733,-1.134200304,1.6861696,0.133893785,0.900062863,1.185673283,-3.876478144,-2.245509464,3.316470076,-1.225760801,-1.303060601,0.139185045,-0.118366048,-0.009764507,-1.119357222,-0.959296591,0.737498059
57,157,4,40,56,10,632000,354000,4.213073398,-0.012942214,-0.748627086,0.790565752,0.917028321,-0.330043428,-0.439556815,0.913222933,-0.092230513,0.195427591,0.247994051,-0.233631687,0.146318308,-0.674258496,-0.809637854,1.4781589,0.12907503,1.471088889,-0.453811229,-0.410402029,0.359212791,-0.004379432,0.279139905,-0.161305492,-0.113495094,-0.00988248,-0.041392293,0.044259631,-0.020169826,1.061519953,-0.855322342,-1.676588487
58,158,14,34,52,10,632000,365000,4.15753532,1.563848806,-0.493727786,-2.634154078,2.039649718,1.65992228,-1.548673853,0.040123106,-0.295230408,0.664013786,-0.248642742,0.092409935,-0.063529824,-0.233281413,-0.066697081,-1.116507918,-0.726405422,1.925855889,0.403040957,-0.118189448,-0.131037685,-0.128832051,0.112364497,-0.206920447,0.281403724,-0.100504915,-0.013232314,-0.07184787,-0.018487537,0.171501643,0.632421155,-0.49634637
