"","sand","clay","silt","DEPTH","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"81",56,11,33,10,5.463535996,2.712326236,1.697743517,1.707986043,-1.175656146,1.233909628,-1.925894911,-1.182913608,2.474599981,-0.269290504,-0.271225845,0.001369814
"82",23,35,42,10,5.042462967,0.804948115,3.743351973,1.607582055,-1.028996369,0.078564489,0.244757482,0.881011938,0.181980848,-0.247647458,-1.177041122,0.20072978
"83",43,25,32,10,6.807867624,2.722467124,0.249091097,0.808583232,-1.304943069,-2.435853373,-0.14235978,0.851844918,0.810721671,-0.293821882,0.316365159,0.32687368
"84",23,25,52,10,6.327388357,2.909594185,-1.019243694,0.831347656,-1.025054552,0.814117412,-1.315464025,1.085658946,-1.081985479,-0.074510583,0.590042885,0.100335504
"85",41,21,38,10,6.004929046,1.892576065,-1.943415899,-1.4084035,-0.444973382,-1.361692894,-0.498201407,0.664805948,-0.129716242,0.198384646,-0.36365519,-0.868596219
"86",14,20,66,10,6.122621613,3.037779929,0.136354702,-1.349324718,-2.722361535,-1.910861306,0.440956435,0.67154032,1.04669828,-0.579299323,-0.026552485,0.042100153
"87",49,25,26,10,5.790894041,2.506998552,2.526221485,1.530444066,-1.670324542,-1.436876718,0.103008875,0.538677151,0.301962009,-0.180289403,-0.562581139,-0.255976155
"88",33,22,45,10,4.110924752,-0.924284711,0.974617057,0.41522347,-0.142837809,0.296836274,-0.23789834,0.827031885,-0.338420937,-0.754523365,-1.165518372,0.06732702
"89",6.75,37.5,55.75,10,6.260139496,2.954689642,3.958963493,1.688840708,-1.238956331,-0.852999807,-0.296981341,-0.349349014,-0.534756896,0.567231507,-0.362603147,-1.327973142
"90",26,32,42,10,5.63005672,0.881872635,0.011139584,2.079757605,0.974433645,-0.737974121,-1.451226079,-0.088829288,-1.272372823,0.084205259,0.325517605,1.071191172
"91",16,45,39,10,6.65947155,1.749629958,-0.597496576,0.93293563,0.507852502,-0.706299435,-1.042065907,-0.094176838,-1.067584559,0.141752091,0.637967887,0.192143483
"93",34,10,56,10,4.947145434,0.374459743,-1.273943602,1.619087689,0.703253307,0.522351339,-0.622068767,0.998819959,-0.972923586,0.161123987,0.535089491,0.636174042
"94",22,26,52,10,6.056738216,2.671569815,0.157999717,-0.105888998,-1.428516452,-0.76075543,-0.160508956,0.58220564,-0.149312252,0.236499474,0.416754182,-0.162124898
"95",19,36,45,10,5.105234829,1.823024891,1.573882243,-2.481514829,-1.756752464,-0.592676593,-0.628779787,0.515323592,-0.272214174,0.076272307,-0.635546868,0.224730606
